attribute_id,business_id,name,address,city,latitude,longitude,stars,review_count,opening_hours_id
ATR1,--gJkxbsiSIwsQKbiwm_Ng,Salon Lofts - West Kennedy,4545 W Kennedy Blvd,Tampa,27.9451223,-82.5210814,5.0,6,a75
ATR1,-hWqt93mXwiPUmS12suf6w,K&S Natural Nail & Spa,3321 W Gandy Blvd,Tampa,27.894041,-82.499752,4.5,62,a464
ATR1,0Sa2hQnbS9hoRthHKOGepg,The Nail Shoppe of S Tampa,4229 Henderson Blvd,Tampa,27.9262367,-82.514936,4.5,88,a47
ATR1,14wug4g_h4K-8zqxGIQ7gw,New Image Nail Spa,250 37th Ave N,Saint Petersburg,27.805725,-82.636324,4.0,43,a296
ATR1,16bxqGvRmT3yUdNdluuJXg,R Salon,"2454 N McMullen Booth Rd, Ste 403, Northwood Commons",Clearwater,28.010465,-82.708467,4.5,46,a270
ATR1,1uXrs6OJPzi2G6cxx5o32A,Idee Nails & Spa,"4011 Tampa Rd, Ste 13",Oldsmar,28.0375497,-82.6581056,4.5,7,a294
ATR1,3pxDvNe2bHkT5hEFssrfUA,Salon 427,4399 Commercial Way,Spring Hill,28.4949470606,-82.5987853158,4.0,44,a25
ATR1,5-9-1Ejn4Bf5N_RD0ppvzA,Bebe Nails & Spa,2140 Corporate Center Dr,Trinity,28.1899559473,-82.6264335515,3.0,25,a80
ATR1,5-Q_6MLNtoVt7u4fwuzcmw,D'amico Hair & Nail Lounge,1933 W Brandon Blvd,Brandon,27.9367681,-82.3157037,3.5,19,a91
ATR1,5B40GOi3vnWkrerGNpIyFA,Fonda Nails & Spa Studio,2421 Central Ave,St Petersburg,27.7712024886,-82.6662192866,4.5,56,a128
ATR1,5EJQLjYKZAXhrur_h1n47Q,Luxecares Nails & Spa,"9300 4th St N, Ste E",St. Petersburg,27.8570652,-82.6391304,4.5,297,a284
ATR1,5q-H6L0lU40A4kWvl6amig,Solar Nails & Spa,14455 N Dale Mabry Hwy,Tampa,28.0797457,-82.5060906,4.0,81,a167
ATR1,6OrXDINe8_u4UU1VetFiow,Image Nails,"5130 S Dale Mabry Hwy, Ste 112",Tampa,27.8906,-82.5059409,4.0,6,a125
ATR1,6XZESJv1rcBnSDNn6X86Uw,Prestige Natural Nail Bar,"209 N Meridian Ave, Unit 1",Tampa,27.948967,-82.448429,4.5,33,a77
